src_id,direction,geom_points,os_speed
osgb4000000025938547,-1,"((-3.4124910862918858, 50.618657283334556), (-3.4119393017794657, 50.618169338714559))",37.5
osgb4000000025933271,1,"((-3.4128631734868318, 50.619315197753203), (-3.4126969825191216, 50.619169731684401))",37.5
osgb4000000025933271,-1,"((-3.4130278310321791, 50.619127081053364), (-3.4128616400644689, 50.618981614984563))",37.5
osgb4000000025943716,1,"((-3.4117758774788798, 50.618358513011046), (-3.4114422553144097, 50.618074769268347))",37.5
osgb4000000025943716,-1,"((-3.4119378442245298, 50.618168074639641), (-3.4116042220600598, 50.617884330896942))",37.5
osgb4000000025938548,1,"((-3.4134003128837951, 50.619785330609176), (-3.4128631761516752, 50.619315200085673))",37.5
osgb4000000025938548,-1,"((-3.4135649659877365, 50.619597210021887), (-3.4130278292556167, 50.619127079498384))",37.5
osgb4000000025938543,-1,"((-3.4141887816022014, 50.620214785578419), (-3.4141729671173016, 50.620154137516323))",37.5
osgb4000000025938543,1,"((-3.4139468707105229, 50.620277865848614), (-3.4139310562256231, 50.620217217786518))",37.5
osgb4000000025938545,-1,"((-3.4141133000659205, 50.620459426899544), (-3.4141850991902705, 50.620276565621644))",37.5
osgb4000000025938545,1,"((-3.4138805952040694, 50.620368057061683), (-3.4139523943284193, 50.620185195783783))",37.5
osgb4000000025946931,-1,"((-3.4145897157398744, 50.620576688348116), (-3.4144606439030247, 50.620515302341119))",37.5
osgb4000000025946931,1,"((-3.4144823418226382, 50.620802455577575), (-3.4143532699857886, 50.620741069570578))",37.5
osgb4000000025933279,1,"((-3.4114419076644871, 50.618074472680284), (-3.4111517579070272, 50.617826174681184))",37.5
osgb4000000025933279,-1,"((-3.411604453826675, 50.617884528622312), (-3.4113143040692151, 50.617636230623212))",37.5
osgb4000000025938569,1,"((-3.4105189246125169, 50.617308421250272), (-3.4104757262035772, 50.617281964352273))",37.5
osgb4000000025938569,-1,"((-3.4106494949970383, 50.617095227970154), (-3.4106062965880986, 50.617068771072155))",37.5
osgb4000000025938571,1,"((-3.4058978643873248, 50.616917906968709), (-3.4053977454937647, 50.617211729881106))",37.5
osgb4000000025938571,-1,"((-3.4057712261439339, 50.61670235475853), (-3.4052711072503739, 50.616996177670927))",37.5
osgb4000000025933280,-1,"((-3.4052666308678359, 50.6169989689567), (-3.4050171049609057, 50.617163859867205))",37.5
osgb4000000025933280,1,"((-3.4054044600675715, 50.617207542952443), (-3.4051549341606413, 50.617372433862947))",37.5
osgb4000000025933282,-1,"((-3.4042382724458071, 50.617724482466038), (-3.4037125486626669, 50.618108540842236))",37.5
osgb4000000025933282,1,"((-3.404385745455365, 50.617926352997443), (-3.4038600216722248, 50.618310411373642))",37.5
osgb4000000025933281,-1,"((-3.4036468254604166, 50.618142669744095), (-3.4033002449702265, 50.618371680025191))",37.5
osgb4000000025933281,1,"((-3.4037846479878247, 50.618351248148869), (-3.4034380674976346, 50.618580258429965))",37.5
osgb4000000025938570,1,"((-3.4063272026124003, 50.616661590482302), (-3.4061131884865903, 50.6167846852846))",37.5
osgb4000000025938570,-1,"((-3.4062025569191001, 50.616444879958465), (-3.4059885427932901, 50.616567974760763))",37.5
osgb4000000025933314,-1,"((-3.4029209949879169, 50.61855903444831), (-3.401541807620347, 50.619241147374709))",37.5
osgb4000000025933314,1,"((-3.4030318249486746, 50.618783125322288), (-3.4016526375811047, 50.619465238248686))",37.5
osgb4000000025938637,-1,"((-3.4015407910920432, 50.619241657339856), (-3.401178724789383, 50.619425880770358))",37.5
